"index","net","x_mm","y_mm","paste_side","footprint","pad","population","via_outer_dia_mm","drill_dia_mm","annular_ring_mm","pad_size_mm","pad_net","barrel_overlap_mm","via_pad_overlap_mm","true_via_in_pad","classification"
"1","+3V3","29.5000","78.9500","B","C13","1","FITTED","0.80","0.40","0.2000","0.90x0.95","+3V3","0.2000","0.4000","yes","power"
"2","+3V3","16.5500","151.0500","B","J2","4","FITTED","0.80","0.40","0.2000","0.80x1.50","+3V3","0.2000","0.4000","yes","power"
"3","+3V3","10.6000","52.7750","B","R9","1","FITTED","0.80","0.40","0.2000","0.80x0.95","+3V3","0.2000","0.4000","yes","power"
"4","+3V3","10.6000","49.9750","B","R5","1","FITTED","0.80","0.40","0.2000","0.80x0.95","+3V3","0.1500","0.3500","no","power"
"5","Net-(U1-EN)","12.6000","14.8000","B","C1","2","FITTED","0.60","0.30","0.1500","0.90x0.95","Net-(U1-EN)","0.1500","0.3000","yes","signal"
"6","GND","38.2000","147.1000","F","J3","B1","FITTED","0.60","0.30","0.1500","0.60x1.15","GND","0.1500","0.3000","yes","thermal/ground"
"7","/02_MCU_CORE/BOOT_N","23.2000","37.9500","B","R2","2","FITTED","0.60","0.30","0.1500","0.80x0.95","/02_MCU_CORE/BOOT_N","0.1500","0.3000","yes","signal"
"8","/DISP_CS_N","31.5000","78.8000","B","R26","2","FITTED","0.60","0.30","0.1500","0.80x0.95","/DISP_CS_N","0.1500","0.3000","yes","signal"
"9","Net-(U12-PS_SYNC)","68.3000","43.0000","F","R42","2","FITTED","0.60","0.30","0.1500","0.80x0.95","Net-(U12-PS_SYNC)","0.1500","0.3000","yes","signal"
"10","/03_SPI_A_DISPLAY_SD/LED_A1","49.5500","84.9000","B","R70","2","FITTED","0.60","0.30","0.1500","0.80x0.95","/03_SPI_A_DISPLAY_SD/LED_A1","0.1500","0.3000","yes","signal"
"11","GND","2.5500","67.7500","B","SW1","2","FITTED","0.60","0.30","0.1500","1.55x1.30","GND","0.1500","0.3000","yes","thermal/ground"
"12","GND","7.8000","35.2000","B","U1","40","FITTED","0.60","0.30","0.1500","1.50x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"13","GND","7.8000","17.7000","B","U1","1","FITTED","0.60","0.30","0.1500","1.50x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"14","/FAST_IO_U0TXD_ROOTPROBE_CS","11.3000","34.7500","B","U1","37","FITTED","0.60","0.30","0.1500","1.50x0.90","/FAST_IO_U0TXD_ROOTPROBE_CS","0.1500","0.3000","yes","signal"
"15","/WAKE_INT_N","25.2500","29.1500","B","U1","23","FITTED","0.60","0.30","0.1500","1.50x0.90","/WAKE_INT_N","0.1500","0.3000","yes","signal"
"16","Net-(U1-EN)","10.3000","17.1000","B","U1","3","FITTED","0.60","0.30","0.1500","1.50x0.90","Net-(U1-EN)","0.1500","0.3000","yes","signal"
"17","/I2S_BCLK","17.5500","34.1000","B","U1","32","FITTED","0.60","0.30","0.1500","1.50x0.90","/I2S_BCLK","0.1500","0.3000","yes","signal"
"18","/I2S_MIC_DIN","13.6500","35.0000","B","U1","35","FITTED","0.60","0.30","0.1500","1.50x0.90","/I2S_MIC_DIN","0.1500","0.3000","yes","signal"
"19","GND","46.8500","139.9500","B","U7","1","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"20","GND","56.1500","140.0000","B","U7","5","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"21","GND","49.4000","139.9500","B","U7","3","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"22","GND","46.8000","153.9500","B","U7","22","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"23","GND","48.1000","139.9500","B","U7","2","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"24","GND","57.5500","119.3000","B","U8","22","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"25","GND","71.4000","134.5000","B","U8","10","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"26","GND","72.5500","136.0000","B","U8","11","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.1500","0.3000","yes","thermal/ground"
"27","GND","58.5500","136.0000","B","U8","12","FITTED","0.60","0.30","0.1500","1.80x0.90","GND","0.1500","0.3000","yes","thermal/ground"
