#GRM188R61E106KA73#,,
#2026/08/21,,
#c_acvoltage_capacitance,,
#capacitance  DC0V  25.0degC,,
AC Voltage[Vrms],Capacitance[F],
0.01,6.819783973903086E-6,
0.02,6.936818398872269E-6,
0.03,7.048929575229429E-6,
0.04,7.15630357234584E-6,
0.05,7.259121191406699E-6,
0.060000000000000005,7.357558061417107E-6,
0.06999999999999999,7.451784734366512E-6,
0.08,7.541966779551551E-6,
0.09,7.628264877057314E-6,
0.09999999999999999,7.710834910397046E-6,
0.11,7.789828058310252E-6,
0.12,7.86539088571924E-6,
0.13,7.93766543384408E-6,
0.14,8.006789309475982E-6,
0.15000000000000002,8.072895773409103E-6,
0.16,8.13611382803077E-6,
0.17,8.196568304070135E-6,
0.18000000000000002,8.254379946505233E-6,
0.19,8.30966549962849E-6,
0.2,8.36253779127063E-6,
0.21000000000000002,8.413105816183014E-6,
0.22,8.461474818578397E-6,
0.23,8.507746373830121E-6,
0.24000000000000002,8.552018469329702E-6,
0.25,8.594385584502879E-6,
0.26,8.63493876998404E-6,
0.27,8.673765725949119E-6,
0.28,8.710950879606861E-6,
0.29000000000000004,8.746575461848569E-6,
0.3,8.780717583056214E-6,
0.31,8.813452308069015E-6,
0.32,8.844851730308417E-6,
0.33,8.8749850450615E-6,
0.34,8.903918621922793E-6,
0.35000000000000003,8.931716076394545E-6,
0.36000000000000004,8.958438340645375E-6,
0.37,8.984143733427393E-6,
0.38,9.00888802915169E-6,
0.39,9.0327245261223E-6,
0.4,9.055704113928545E-6,
0.41000000000000003,9.077875339995832E-6,
0.42000000000000004,9.09928447529485E-6,
0.43,9.119975579209204E-6,
0.44,9.13999056356147E-6,
0.45,9.159369255797656E-6,
0.46,9.178149461330107E-6,
0.47000000000000003,9.196367025038828E-6,
0.48000000000000004,9.214055891931205E-6,
0.49,9.231248166960194E-6,
0.5,9.247974174000883E-6,
0.51,9.264262513985516E-6,
0.52,9.280140122196907E-6,
0.53,9.295632324720313E-6,
0.54,9.310762894053688E-6,
0.55,9.325554103876385E-6,
0.56,9.340026782976284E-6,
0.5700000000000001,9.354200368335329E-6,
0.5800000000000001,9.368092957373482E-6,
0.59,9.381721359351124E-6,
0.6,9.395101145929852E-6,
0.61,9.408246700891713E-6,
0.62,9.421171269016866E-6,
0.63,9.433887004119639E-6,
0.64,9.446405016243041E-6,
0.65,9.458735418011675E-6,
0.66,9.470887370143092E-6,
0.67,9.482869126117533E-6,
0.68,9.494688076006134E-6,
0.6900000000000001,9.50635078945754E-6,
0.7000000000000001,9.517863057842914E-6,
0.7100000000000001,9.529229935559408E-6,
0.72,9.540455780492036E-6,
0.73,9.551544293633978E-6,
0.74,9.56249855786528E-6,
0.75,9.573321075890025E-6,
0.76,9.584013807331875E-6,
0.77,9.594578204988076E-6,
0.78,9.605015250241855E-6,
0.79,9.615325487633267E-6,
0.8,9.62550905858843E-6,
0.81,9.635565734307218E-6,
0.8200000000000001,9.645494947809363E-6,
0.8300000000000001,9.655295825138955E-6,
0.8400000000000001,9.664967215727409E-6,
0.85,9.674507721914827E-6,
0.86,9.683915727629772E-6,
0.87,9.693189426227493E-6,
0.88,9.702326847486559E-6,
0.89,9.711325883763907E-6,
0.9,9.720184315308323E-6,
0.91,9.728899834732345E-6,
0.92,9.737470070642579E-6,
0.93,9.745892610428455E-6,
0.9400000000000001,9.754165022209382E-6,
0.9500000000000001,9.762284875940343E-6,
0.9600000000000001,9.77024976367591E-6,
0.97,9.778057318992677E-6,
0.98,9.785705235570112E-6,
0.99,9.793191284929834E-6,
1.0,9.80051333333333E-6,
1.01,9.807669357838058E-6,
1.02,9.814657461512007E-6,
1.03,9.821475887806663E-6,
