#GRM188R61E106KA73#,,
#2026/08/21,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC1Vrms,,
DC Bias[V],Capacitance[F],
0.0,9.80051333333333E-6,
0.125,9.819540615171662E-6,
0.25,9.81402222195821E-6,
0.375,9.78539709953236E-6,
0.5,9.735209855329797E-6,
0.625,9.66507947182565E-6,
0.75,9.576670450844703E-6,
0.875,9.471666684968497E-6,
1.0,9.351748234252672E-6,
1.125,9.218571083312364E-6,
1.25,9.073749866402609E-6,
1.375,8.918843476469456E-6,
1.5,8.755343417694303E-6,
1.625,8.584664718749707E-6,
1.75,8.408139194459762E-6,
1.875,8.227010825253938E-6,
2.0,8.042433015079319E-6,
2.125,7.855467487656779E-6,
2.25,7.667084586564874E-6,
2.375,7.478164755160224E-6,
2.5,7.289500986489147E-6,
2.625,7.101802049969074E-6,
2.75,6.915696319743544E-6,
2.875,6.731736048430055E-6,
3.0,6.550401948830366E-6,
3.125,6.372107964545068E-6,
3.25,6.1972061279433165E-6,
3.375,6.025991420310142E-6,
3.5,5.8587065640472585E-6,
3.625,5.69554669043689E-6,
3.75,5.536663838652326E-6,
3.875,5.382171252424222E-6,
4.0,5.2321474500957395E-6,
4.125,5.086640051797483E-6,
4.25,4.9456693542384655E-6,
4.375,4.809231649246664E-6,
4.5,4.677302286812829E-6,
4.625,4.5498384871055145E-6,
4.75,4.426781908843008E-6,
4.875,4.308060983633515E-6,
5.0,4.193593027526187E-6,
5.125,4.083286142142861E-6,
5.25,3.9770409184651335E-6,
5.375,3.87475195670763E-6,
5.5,3.7763092157805263E-6,
5.625,3.6815992056898897E-6,
5.75,3.5905060358924993E-6,
5.875,3.5029123321546985E-6,
6.0,3.4187000338986117E-6,
6.125,3.3377510833836366E-6,
6.25,3.2599480173916705E-6,
6.375,3.185174471381218E-6,
6.5,3.1133156053650137E-6,
6.625,3.04425846006105E-6,
6.75,2.977892251178E-6,
6.875,2.9141086090307392E-6,
7.0,2.8528017700454716E-6,
7.125,2.793868726110791E-6,
7.25,2.7372093371633424E-6,
7.375,2.6827264118657604E-6,
7.5,2.63032576074095E-6,
7.625,2.579916225669801E-6,
7.75,2.5314096892388433E-6,
7.875,2.484721067038149E-6,
8.0,2.4397682856572226E-6,
8.125,2.3964722488051382E-6,
8.25,2.354756793689661E-6,
8.375,2.3145486395259367E-6,
8.5,2.275777329807019E-6,
8.625,2.2383751697539716E-6,
8.75,2.2022771601705986E-6,
8.875,2.1674209287552107E-6,
9.0,2.133746659767726E-6,
9.125,2.101197022812915E-6,
9.25,2.0697171013783454E-6,
9.375,2.0392543216573407E-6,
9.5,2.0097583820912735E-6,
9.625,1.981181183981243E-6,
9.75,1.9534767634447373E-6,
9.875,1.926601224928031E-6,
10.0,1.900512676428435E-6,
10.125,1.875171166531175E-6,
10.25,1.8505386233236038E-6,
10.375,1.8265787952129317E-6,
10.5,1.803257193642914E-6,
10.625,1.7805410376792E-6,
10.75,1.7583992004114092E-6,
10.875,1.7368021571027865E-6,
11.0,1.7157219350042665E-6,
11.125,1.6951320647392985E-6,
11.25,1.6750075331580226E-6,
11.375,1.655324737554148E-6,
11.5,1.6360614411353109E-6,
11.625,1.6171967296366436E-6,
11.75,1.5987109689686375E-6,
11.875,1.580585763792698E-6,
12.0,1.5628039169223157E-6,
12.125,1.5453493894526152E-6,
12.25,1.528207261527584E-6,
12.375,1.5113636936613861E-6,
12.5,1.4948058885379947E-6,
12.625,1.4785220532217142E-6,
12.75,1.4625013617200152E-6,
12.875,1.4467339178490438E-6,
13.0,1.4312107183612092E-6,
13.125,1.4159236163036128E-6,
13.25,1.4008652845847524E-6,
13.375,1.3860291797358101E-6,
13.5,1.3714095058612826E-6,
13.625,1.3570011787814052E-6,
13.75,1.3427997903765743E-6,
13.875,1.3288015731503642E-6,
14.0,1.3150033650342533E-6,
14.125,1.3014025744622523E-6,
14.25,1.2879971457484528E-6,
14.375,1.274785524804127E-6,
14.5,1.2617666252341452E-6,
14.625,1.248939794854319E-6,
14.75,1.2363047826727393E-6,
14.875,1.2238617063782403E-6,
15.0,1.2116110203787107E-6,
15.125,1.1995534844306565E-6,
15.25,1.1876901328990512E-6,
15.375,1.1760222446835084E-6,
15.5,1.1645513138432854E-6,
15.625,1.1532790209488683E-6,
15.75,1.1422072051829932E-6,
15.875,1.1313378372082068E-6,
16.0,1.1206729928117746E-6,
16.125,1.1102148273321545E-6,
16.25,1.0999655508639188E-6,
16.375,1.0899274042308593E-6,
16.5,1.0801026357087057E-6,
16.625,1.0704934784716953E-6,
16.75,1.0611021287280487E-6,
16.875,1.0519307245022608E-6,
17.0,1.0429813250129074E-6,
17.125,1.0342558905869192E-6,
17.25,1.025756263043052E-6,
17.375,1.017484146468921E-6,
17.5,1.009441088308484E-6,
17.625,1.0016284606691253E-6,
17.75,9.940474417500508E-7,
17.875,9.866989972870892E-7,
18.0,9.795838619021118E-7,
18.125,9.72702520239781E-7,
18.25,9.660551877683816E-7,
18.375,9.596417911171938E-7,
18.5,9.534619478185534E-7,
18.625,9.475149453198029E-7,
18.75,9.417997191276718E-7,
18.875,9.363148299473881E-7,
19.0,9.310584396779228E-7,
19.125,9.26028286127234E-7,
19.25,9.212216563140896E-7,
19.375,9.16635358228172E-7,
19.5,9.122656909277082E-7,
19.625,9.081084128630786E-7,
19.75,9.041587083274073E-7,
19.875,9.004111519504589E-7,
20.0,8.968596711714608E-7,
20.125,8.934975066491224E-7,
20.25,8.903171705944307E-7,
20.375,8.873104030445951E-7,
20.5,8.84468126133894E-7,
20.625,8.817803964615719E-7,
20.75,8.79236355707199E-7,
20.875,8.768241797030477E-7,
21.0,8.745310262374356E-7,
21.125,8.723429819396502E-7,
21.25,8.702450086792302E-7,
21.375,8.682208900076649E-7,
21.5,8.662531782724678E-7,
21.625,8.643231431497843E-7,
21.75,8.624107224645358E-7,
21.875,8.604944763036639E-7,
22.0,8.585515455722484E-7,
22.125,8.565576162971912E-7,
