"Designator","Mid X","Mid Y","Rotation","Layer"
"C1","11.800000","-14.800000","0","Bottom"
"C2","8.300000","-14.800000","180","Bottom"
"C3","15.500000","-14.800000","0","Bottom"
"C4","17.800000","-48.000000","0","Bottom"
"C5","27.700000","-10.300000","270","Bottom"
"C6","11.850000","-60.800000","0","Bottom"
"C7","15.500000","-60.800000","0","Bottom"
"C8","72.000000","-11.800000","180","Bottom"
"C9","66.000000","-14.300000","90","Bottom"
"C10","69.800000","-16.300000","0","Bottom"
"C12","63.000000","-9.900000","0","Bottom"
"C13","28.500000","-79.000000","180","Bottom"
"C37","30.000000","-14.000000","180","Bottom"
"C38","40.200000","-14.000000","0","Bottom"
"C40","30.700000","-11.200000","90","Bottom"
"C42","39.500000","-11.200000","270","Bottom"
"C43","33.500000","-83.150000","180","Bottom"
"C44","46.900000","-85.200000","0","Bottom"
"C56","46.100000","-82.500000","0","Bottom"
"D8","43.000000","-85.200000","180","Bottom"
"J2","16.000000","-146.700000","0","Bottom"
"J4","58.000000","-82.500000","0","Bottom"
"J5","37.000000","0.000000","180","Bottom"
"L3","38.000000","-83.150000","0","Bottom"
"MK1","71.500000","-8.500000","0","Bottom"
"R1","15.500000","-10.500000","0","Bottom"
"R2","22.000000","-37.500000","0","Bottom"
"R3","18.200000","-43.000000","0","Bottom"
"R4","8.000000","-50.500000","0","Bottom"
"R5","11.500000","-50.500000","0","Bottom"
"R6","14.800000","-50.500000","0","Bottom"
"R7","18.200000","-50.500000","0","Bottom"
"R8","8.000000","-53.000000","0","Bottom"
"R9","11.500000","-53.000000","0","Bottom"
"R10","14.800000","-53.000000","0","Bottom"
"R11","18.200000","-45.500000","0","Bottom"
"R12","18.200000","-40.500000","0","Bottom"
"R13","18.200000","-53.000000","0","Bottom"
"R14","8.000000","-54.900000","0","Bottom"
"R15","11.500000","-54.900000","0","Bottom"
"R16","14.800000","-54.900000","0","Bottom"
"R17","44.000000","-9.350000","0","Bottom"
"R18","15.800000","-63.500000","0","Bottom"
"R19","8.000000","-37.200000","0","Bottom"
