"Refs","Value","Footprint","Manufacturer","MPN","LCSC","Description","Qty","DNP"
"TP1","GPIO45_STRAP_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP2","GPIO46_STRAP_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP3","GPIO3_STRAP_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP4","I2C_SDA_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP5","I2C_SCL_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP6","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP7","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP8","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP9","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP10","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP11","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP12","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP13","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP14","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP15","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP16","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP17","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP18","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP19","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP20","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP21","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP22","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP23","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP24","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP25","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP26","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP27","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP28","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP29","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP30","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP31","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP32","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP33","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP34","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP35","UART0_TXD_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP36","DISP_SDO_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP37","NFC_ANT_A_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP38","NFC_ANT_B_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP39","IR_LED_I_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP40","IR_RX_TEST","TestPoint:TestPoint_Pad_D1.0mm","","","","test point","1",""
"TP42","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP43","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP44","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP45","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP46","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
"TP47","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","","","","","1",""
